date,sku,manufacturer,name,salesRankShortTerm,salesRankMediumTerm,salesRankLongTerm,bestSellingRank,customerReviewAverage,customerReviewCount,image,url
2017_09_06,5754303,Samsung,"Samsung - 55"" Class (54.6"" Diag.) - LED Curved - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",1314,1038,1206,1156,4.7,161,https://img.bbystatic.com/BestBuy_US/images/products/5754/5754303_sa.jpg,https://api.bestbuy.com/click/-/5754303/pdp
2017_09_06,5773708,Samsung,"Samsung - 65"" Class (64.5"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",1584,1119,1300,1254,4.7,216,https://img.bbystatic.com/BestBuy_US/images/products/5773/5773708_sa.jpg,https://api.bestbuy.com/click/-/5773708/pdp
2017_09_06,5773704,Samsung,"Samsung - 55"" Class (54.6"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV",1624,1397,1490,1456,4.7,202,https://img.bbystatic.com/BestBuy_US/images/products/5773/5773704_sa.jpg,https://api.bestbuy.com/click/-/5773704/pdp
2017_09_06,5773847,Samsung,"Samsung - 65"" Class (64.5"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV",2240,2590,2831,2695,4.7,122,https://img.bbystatic.com/BestBuy_US/images/products/5773/5773847_sa.jpg,https://api.bestbuy.com/click/-/5773847/pdp
2017_09_06,5773804,Samsung,"Samsung - 65"" Class (64.5"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",3758,2430,2605,2616,4.9,68,https://img.bbystatic.com/BestBuy_US/images/products/5773/5773804_sa.jpg,https://api.bestbuy.com/click/-/5773804/pdp
2017_09_06,5758120,Samsung,"Samsung - 65"" Class (64.5"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",6862,6297,6919,6732,4.9,35,https://img.bbystatic.com/BestBuy_US/images/products/5758/5758120_sa.jpg,https://api.bestbuy.com/click/-/5758120/pdp
2017_09_06,5758118,Samsung,"Samsung - 55"" Class (54.6"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",9467,6567,7510,7306,4.8,24,https://img.bbystatic.com/BestBuy_US/images/products/5758/5758118_sa.jpg,https://api.bestbuy.com/click/-/5758118/pdp
2017_09_06,5758300,Samsung,"Samsung - 75"" Class (74.5"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",11739,11369,11160,11347,4.2,13,https://img.bbystatic.com/BestBuy_US/images/products/5758/5758300_sa.jpg,https://api.bestbuy.com/click/-/5758300/pdp
2017_09_06,5786402,Samsung,"Samsung - 65"" Class (64.5"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",13764,15880,18605,17281,4.6,10,https://img.bbystatic.com/BestBuy_US/images/products/5786/5786402_sa.jpg,https://api.bestbuy.com/click/-/5786402/pdp
2017_09_06,5034500,Samsung,"Samsung - 65"" Class (64.5"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV - with High Dynamic Range",14249,20682,28405,22832,4.8,523,https://img.bbystatic.com/BestBuy_US/images/products/5034/5034500_sa.jpg,https://api.bestbuy.com/click/-/5034500/pdp
2017_09_06,5786407,Samsung,"Samsung - 55"" Class (54.5"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",17910,17181,17460,17492,4.7,7,https://img.bbystatic.com/BestBuy_US/images/products/5786/5786407_sa.jpg,https://api.bestbuy.com/click/-/5786407/pdp
2017_09_06,5336000,Samsung,"Samsung - 88"" Class (88"" Diag.) - Curved -  2160p - Smart - 4K Ultra HD TV with High Dynamic Range",22404,34252,47928,36764,5.0,1,https://img.bbystatic.com/BestBuy_US/images/products/5336/5336000_sa.jpg,https://api.bestbuy.com/click/-/5336000/pdp
