date,sku,manufacturer,name,salesRankShortTerm,salesRankMediumTerm,salesRankLongTerm,bestSellingRank,customerReviewAverage,customerReviewCount,image,url
2017_09_07,4822001,Insignia™,"Insignia™ - 32"" Class (31.5"" Diag.) - LED - 720p - Smart - Roku TV",85.0,90.0,116,104,4.5,4789.0,https://img.bbystatic.com/BestBuy_US/images/products/4822/4822001_sa.jpg,https://api.bestbuy.com/click/-/4822001/pdp
2017_09_07,4863301,Sharp,"Sharp - 43"" Class (42.5"" Diag.) - LED - 1080p - Smart - HDTV - Roku TV",87.0,111.0,173,142,4.5,2536.0,https://img.bbystatic.com/BestBuy_US/images/products/4863/4863301_sa.jpg,https://api.bestbuy.com/click/-/4863301/pdp
2017_09_07,5733203,Toshiba,"Toshiba - 55"" Class (54.6"" Diag.) - LED - 2160p - with Chromecast Built-in - 4K Ultra HD TV",170.0,232.0,319,271,4.4,15.0,https://img.bbystatic.com/BestBuy_US/images/products/5733/5733203_sa.jpg,https://api.bestbuy.com/click/-/5733203/pdp
2017_09_07,5803100,LG,"LG - 49"" Class (48.5"" Diag.) - LED - 1080p - Smart - HDTV",221.0,182.0,233,210,4.6,171.0,https://img.bbystatic.com/BestBuy_US/images/products/5803/5803100_sa.jpg,https://api.bestbuy.com/click/-/5803100/pdp
2017_09_07,5878703,TCL,"TCL - 55"" Class (54.6"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV Roku TV",237.0,333.0,315,313,4.5,36.0,https://img.bbystatic.com/BestBuy_US/images/products/5878/5878703_sa.jpg,https://api.bestbuy.com/click/-/5878703/pdp
2017_09_07,5762002,Samsung,"Samsung - 50"" Class (49.5"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV",249.0,285.0,342,314,4.7,324.0,https://img.bbystatic.com/BestBuy_US/images/products/5762/5762002_sa.jpg,https://api.bestbuy.com/click/-/5762002/pdp
2017_09_07,4863802,Insignia™,"Insignia™ - 39"" Class (38.5"" Diag.) - LED - 1080p - Smart - HDTV Roku TV",289.0,179.0,171,185,4.5,4432.0,https://img.bbystatic.com/BestBuy_US/images/products/4863/4863802_sa.jpg,https://api.bestbuy.com/click/-/4863802/pdp
2017_09_07,5754304,Samsung,"Samsung - 55"" Class (54.6"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV",297.0,185.0,227,216,4.7,312.0,https://img.bbystatic.com/BestBuy_US/images/products/5754/5754304_sa.jpg,https://api.bestbuy.com/click/-/5754304/pdp
2017_09_07,5894900,Samsung,"Samsung - 58"" Class (57.5"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV",301.0,243.0,223,247,4.4,77.0,https://img.bbystatic.com/BestBuy_US/images/products/5894/5894900_sa.jpg,https://api.bestbuy.com/click/-/5894900/pdp
2017_09_07,5803102,LG,"LG - 43"" Class (42.5"" Diag.) - LED - 1080p - Smart - HDTV",316.0,213.0,243,243,4.6,259.0,https://img.bbystatic.com/BestBuy_US/images/products/5803/5803102_sa.jpg,https://api.bestbuy.com/click/-/5803102/pdp
2017_09_07,5768501,Samsung,"Samsung - 43"" Class (42.5"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV",373.0,312.0,369,348,4.7,194.0,https://img.bbystatic.com/BestBuy_US/images/products/5768/5768501_sa.jpg,https://api.bestbuy.com/click/-/5768501/pdp
2017_09_07,4380083,Samsung,"Samsung - 32"" Class (31.5"" Diag.) - LED - 1080p - Smart - HDTV",406.0,337.0,412,378,4.7,5408.0,https://img.bbystatic.com/BestBuy_US/images/products/4380/4380083_sa.jpg,https://api.bestbuy.com/click/-/4380083/pdp
2017_09_07,5792910,LG,"LG - 55"" Class (54.6"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV",420.0,272.0,324,304,4.5,107.0,https://img.bbystatic.com/BestBuy_US/images/products/5792/5792910_sa.jpg,https://api.bestbuy.com/click/-/5792910/pdp
2017_09_07,5866700,Hisense,"Hisense - 50"" Class (49.5"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV",467.0,479.0,580,534,4.4,71.0,https://img.bbystatic.com/BestBuy_US/images/products/5866/5866700_sa.jpg,https://api.bestbuy.com/click/-/5866700/pdp
2017_09_07,5865001,LG,"LG - 49"" Class (48.5"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV",486.0,310.0,401,361,4.5,53.0,https://img.bbystatic.com/BestBuy_US/images/products/5865/5865001_sa.jpg,https://api.bestbuy.com/click/-/5865001/pdp
2017_09_07,4904501,VIZIO,"VIZIO - 32"" Class - (31.51"" Diag.) - LED - 1080p - Smart - HDTV",492.0,345.0,310,325,4.6,668.0,https://img.bbystatic.com/BestBuy_US/images/products/4904/4904501_sa.jpg,https://api.bestbuy.com/click/-/4904501/pdp
2017_09_07,5763401,LG,"LG - 43"" Class (43"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV",495.0,331.0,410,381,4.5,399.0,https://img.bbystatic.com/BestBuy_US/images/products/5763/5763401_sa.jpg,https://api.bestbuy.com/click/-/5763401/pdp
